lfdn,vote,prompt_A,CDU/CSU,SPD,Grünen,AfD,Die Linke,FDP,predicted_vote,age,female,edu,emp,hhincome,east,religious,leftright,partyid,partyid_degree,party,inequality,immigration
16,SPD,"Ich bin 54 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich sehr stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",0.0,5.0,85.0,0.0,5.0,5.0,Bündnis 90/Die Grünen,54,weiblich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,nicht sehr religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,sehr stark ,sehr stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
17,CDU/CSU,"Ich bin 20 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",40.0,25.0,20.0,5.0,5.0,5.0,CDU/CSU,20,weiblich,einen Realschulabschluss,berufstätig,,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern
18,CDU/CSU,"Ich bin 44 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,10.0,5.0,20.0,3.0,2.0,CDU/CSU,44,weiblich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,keine Maßnahmen ergreifen,einschränken
19,CDU/CSU,"Ich bin 34 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",20.0,25.0,30.0,5.0,10.0,10.0,Bündnis 90/Die Grünen,34,männlich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern
20,AfD,"Ich bin 48 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",70.0,3.0,1.0,20.0,1.0,5.0,CDU/CSU,48,männlich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,überhaupt nicht religiös,stark rechts,mit der Partei CDU/CSU,sehr stark ,sehr stark mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
21,SPD,"Ich bin 65 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich stark links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",3.0,30.0,10.0,15.0,40.0,2.0,Die Linke,65,männlich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,überhaupt nicht religiös,stark links,mit der Partei SPD,ziemlich stark ,ziemlich stark mit der Partei SPD,Maßnahmen ergreifen,einschränken
23,Bündnis 90/Die Grünen,"Ich bin 76 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,30.0,40.0,3.0,20.0,2.0,Bündnis 90/Die Grünen,76,weiblich,einen Hauptschulabschluss,nicht berufstätig,niedriges,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei Bündnis 90/Die Grünen,ziemlich stark ,ziemlich stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,einschränken
24,CDU/CSU,"Ich bin 51 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",60.0,15.0,10.0,5.0,5.0,5.0,CDU/CSU,51,weiblich,einen Realschulabschluss,berufstätig,hohes,Westdeutschland,etwas religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",weder erleichtern noch einschränken
25,SPD,"Ich bin 66 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,60.0,10.0,3.0,20.0,2.0,SPD,66,weiblich,Abitur,nicht berufstätig,mittleres,Westdeutschland,überhaupt nicht religiös,mittig links,mit der Partei SPD,ziemlich stark ,ziemlich stark mit der Partei SPD,Maßnahmen ergreifen,einschränken
27,Bündnis 90/Die Grünen,"Ich bin 45 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,20.0,60.0,2.0,10.0,3.0,Bündnis 90/Die Grünen,45,weiblich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
28,CDU/CSU,"Ich bin 78 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",80.0,5.0,5.0,3.0,2.0,5.0,CDU/CSU,78,männlich,einen Hochschulabschluss,nicht berufstätig,mittleres,Westdeutschland,nicht sehr religiös,mittig rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",weder erleichtern noch einschränken
29,CDU/CSU,"Ich bin 88 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,20.0,5.0,10.0,3.0,2.0,CDU/CSU,88,männlich,einen Hochschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit der Partei CDU/CSU,sehr stark ,sehr stark mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
30,CDU/CSU,"Ich bin 79 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",80.0,1.0,0.5,15.0,0.5,3.0,CDU/CSU,79,weiblich,einen Realschulabschluss,nicht berufstätig,niedriges,Westdeutschland,sehr religiös,stark rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,keine Maßnahmen ergreifen,einschränken
31,CDU/CSU,"Ich bin 69 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",80.0,5.0,5.0,0.0,0.0,10.0,CDU/CSU,69,männlich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,mittig rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,keine Maßnahmen ergreifen,erleichtern
32,Bündnis 90/Die Grünen,"Ich bin 76 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,15.0,60.0,5.0,10.0,5.0,Bündnis 90/Die Grünen,76,männlich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,nicht sehr religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,ziemlich stark ,ziemlich stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
33,CDU/CSU,"Ich bin 21 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin nicht sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,20.0,15.0,30.0,25.0,5.0,AfD,21,weiblich,einen Hauptschulabschluss,in Ausbildung,mittleres,Westdeutschland,nicht sehr religiös,,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken
34,SPD,"Ich bin 51 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin berufstätig. Ich bin etwas religiös. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,20.0,60.0,3.0,10.0,2.0,Bündnis 90/Die Grünen,51,weiblich,einen Realschulabschluss,berufstätig,,Westdeutschland,etwas religiös,,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,einschränken
35,CDU/CSU,"Ich bin 39 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich bin in Ausbildung. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",40.0,25.0,15.0,5.0,10.0,5.0,CDU/CSU,39,weiblich,einen Hochschulabschluss,in Ausbildung,,Westdeutschland,,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,weder erleichtern noch einschränken
36,Bündnis 90/Die Grünen,"Ich bin 56 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",5.0,20.0,60.0,3.0,10.0,2.0,Bündnis 90/Die Grünen,56,männlich,einen Realschulabschluss,nicht berufstätig,niedriges,Westdeutschland,etwas religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,ziemlich stark ,ziemlich stark mit der Partei Bündnis 90/Die Grünen,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",erleichtern
37,Bündnis 90/Die Grünen,"Ich bin 74 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,40.0,20.0,5.0,15.0,10.0,SPD,74,weiblich,einen Realschulabschluss,nicht berufstätig,niedriges,Westdeutschland,sehr religiös,mittig links,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern
38,Bündnis 90/Die Grünen,"Ich bin 81 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich mäßig mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",20.0,40.0,15.0,5.0,10.0,10.0,SPD,81,weiblich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,mittig rechts,mit der Partei SPD,mäßig ,mäßig mit der Partei SPD,Maßnahmen ergreifen,weder erleichtern noch einschränken
39,CDU/CSU,"Ich bin 51 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",80.0,5.0,2.0,10.0,2.0,1.0,CDU/CSU,51,männlich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,sehr stark ,sehr stark mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",einschränken
40,CDU/CSU,"Ich bin 58 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich bin berufstätig. Ich bin etwas religiös. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,5.0,3.0,20.0,2.0,10.0,CDU/CSU,58,weiblich,einen Hauptschulabschluss,berufstätig,,Westdeutschland,etwas religiös,,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,keine Maßnahmen ergreifen,einschränken
41,SPD,"Ich bin 53 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,60.0,20.0,3.0,10.0,2.0,SPD,53,männlich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,mittig links,mit der Partei SPD,ziemlich stark ,ziemlich stark mit der Partei SPD,Maßnahmen ergreifen,weder erleichtern noch einschränken
