lfdn,prompt_A,raw_response,SPD,Die Linke,Grünen,CDU/CSU,FDP,AfD,predicted_vote,vote
135,"Ich bin 27 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","{
    ""parteien"": [
        {""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 50},
        {""name"": ""SPD"", ""wahrscheinlichkeit"": 20},
        {""name"": ""Grünen"", ""wahrscheinlichkeit"": 15},
        {""name"": ""AfD"", ""wahrscheinlichkeit"": 5},
        {""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5},
        {""name"": ""FDP"", ""wahrscheinlichkeit"": 5}
    ]
}",20.0,5.0,15.0,50.0,5.0,5.0,CDU/CSU,SPD
137,"Ich bin 77 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 60 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 20 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 5 } ] }",20.0,5.0,5.0,60.0,5.0,5.0,CDU/CSU,CDU/CSU
140,"Ich bin 49 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""SPD"", ""wahrscheinlichkeit"": 20 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 60 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 10 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 2 } ] }",20.0,10.0,60.0,5.0,2.0,3.0,Grünen,Bündnis 90/Die Grünen
141,"Ich bin 52 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [
    { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 60 },
    { ""name"": ""SPD"", ""wahrscheinlichkeit"": 15 },
    { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 },
    { ""name"": ""AfD"", ""wahrscheinlichkeit"": 10 },
    { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5 },
    { ""name"": ""FDP"", ""wahrscheinlichkeit"": 5 }
  ]
}",15.0,5.0,5.0,60.0,5.0,10.0,CDU/CSU,CDU/CSU
142,"Ich bin 52 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{
  ""parteien"": [
    {
      ""name"": ""CDU/CSU"",
      ""wahrscheinlichkeit"": 40
    },
    {
      ""name"": ""SPD"",
      ""wahrscheinlichkeit"": 25
    },
    {
      ""name"": ""Grünen"",
      ""wahrscheinlichkeit"": 15
    },
    {
      ""name"": ""AfD"",
      ""wahrscheinlichkeit"": 5
    },
    {
      ""name"": ""Die Linke"",
      ""wahrscheinlichkeit"": 10
    },
    {
      ""name"": ""FDP"",
      ""wahrscheinlichkeit"": 5
    }
  ]
}",25.0,10.0,15.0,40.0,5.0,5.0,CDU/CSU,CDU/CSU
143,"Ich bin 59 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich stark links ein. Ich identifiziere mich mäßig mit der Partei Die Linke. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 60 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 20 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 10 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 2 } ] }",20.0,60.0,10.0,5.0,2.0,3.0,Die Linke,Die Linke
144,"Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 80 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 6 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 2 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 4 } ] }",5.0,2.0,3.0,80.0,4.0,6.0,CDU/CSU,CDU/CSU
147,"Ich bin 29 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""AfD"", ""wahrscheinlichkeit"": 40 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 30 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 15 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 5 } ] }",15.0,30.0,5.0,5.0,5.0,40.0,AfD,AfD
148,"Ich bin 26 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""AfD"", ""wahrscheinlichkeit"": 60 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 20 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 5 } ] }",5.0,5.0,5.0,20.0,5.0,60.0,AfD,AfD
150,"Ich bin 33 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [
    { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 20 },
    { ""name"": ""SPD"", ""wahrscheinlichkeit"": 25 },
    { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 10 },
    { ""name"": ""AfD"", ""wahrscheinlichkeit"": 15 },
    { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5 },
    { ""name"": ""FDP"", ""wahrscheinlichkeit"": 25 }
] }",25.0,5.0,10.0,20.0,25.0,15.0,SPD,FDP
151,"Ich bin 53 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 70 }, { ""name"": ""SPD"", ""wahrscheinlichkeit"": 15 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 4 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 3 } ] }",15.0,4.0,5.0,70.0,3.0,3.0,CDU/CSU,CDU/CSU
152,"Ich bin 80 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{""parteien"": [
    {""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 60},
    {""name"": ""SPD"", ""wahrscheinlichkeit"": 20},
    {""name"": ""Grünen"", ""wahrscheinlichkeit"": 5},
    {""name"": ""AfD"", ""wahrscheinlichkeit"": 10},
    {""name"": ""Die Linke"", ""wahrscheinlichkeit"": 3},
    {""name"": ""FDP"", ""wahrscheinlichkeit"": 2}
]}",20.0,3.0,5.0,60.0,2.0,10.0,CDU/CSU,FDP
153,"Ich bin 46 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich sehr stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","{""parteien"": [
    {""name"": ""Grünen"", ""wahrscheinlichkeit"": 80},
    {""name"": ""SPD"", ""wahrscheinlichkeit"": 10},
    {""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5},
    {""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 3},
    {""name"": ""AfD"", ""wahrscheinlichkeit"": 1},
    {""name"": ""FDP"", ""wahrscheinlichkeit"": 1}
]}",10.0,5.0,80.0,3.0,1.0,1.0,Grünen,Bündnis 90/Die Grünen
155,"Ich bin 57 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{""parteien"": [
    {""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 60},
    {""name"": ""SPD"", ""wahrscheinlichkeit"": 20},
    {""name"": ""Grünen"", ""wahrscheinlichkeit"": 5},
    {""name"": ""AfD"", ""wahrscheinlichkeit"": 5},
    {""name"": ""Die Linke"", ""wahrscheinlichkeit"": 5},
    {""name"": ""FDP"", ""wahrscheinlichkeit"": 5}
]}",20.0,5.0,5.0,60.0,5.0,5.0,CDU/CSU,Bündnis 90/Die Grünen
156,"Ich bin 54 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""SPD"", ""wahrscheinlichkeit"": 80 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 10 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 1 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 1 } ] }",80.0,10.0,5.0,3.0,1.0,1.0,SPD,SPD
157,"Ich bin 21 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [
    { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 10 },
    { ""name"": ""SPD"", ""wahrscheinlichkeit"": 25 },
    { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 30 },
    { ""name"": ""AfD"", ""wahrscheinlichkeit"": 5 },
    { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 20 },
    { ""name"": ""FDP"", ""wahrscheinlichkeit"": 10 }
] }",25.0,20.0,30.0,10.0,10.0,5.0,Grünen,Bündnis 90/Die Grünen
158,"Ich bin 59 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","{ ""parteien"": [ { ""name"": ""SPD"", ""wahrscheinlichkeit"": 60 }, { ""name"": ""CDU/CSU"", ""wahrscheinlichkeit"": 20 }, { ""name"": ""Grünen"", ""wahrscheinlichkeit"": 5 }, { ""name"": ""AfD"", ""wahrscheinlichkeit"": 10 }, { ""name"": ""Die Linke"", ""wahrscheinlichkeit"": 3 }, { ""name"": ""FDP"", ""wahrscheinlichkeit"": 2 } ] }",60.0,3.0,5.0,20.0,2.0,10.0,SPD,SPD
